What do you think is making you feel this way?,Continuation,Continuation,Continuation
What do you think would change that?,Continuation,Continuation,Continuation
Could you tell me more about that?,Continuation,Continuation,Continuation
Hm…tell me more about that.,Continuation,Continuation,Continuation
Why?,Continuation,Continuation,Continuation
Could you please elaborate on that for me?,Continuation,Continuation,Continuation
I'd like to understand more about that. Please tell me more.,Continuation,Continuation,Continuation
When would you say this started?,Continuation,Continuation,Continuation
Is that something you would like to change or maintain? How?,Continuation,Continuation,Continuation
How recent was this?,Continuation,Continuation,Continuation
How do you feel about that?,Continuation,Continuation,Continuation
How does that make you feel?,Continuation,Continuation,Continuation
How often is this?,Continuation,Continuation,Continuation
How do you mean?,Continuation,Continuation,Continuation
What do you think is the cause of this?,Continuation,Continuation,Continuation
I am interested. Please tell me more.,Continuation,Continuation,Continuation
"I would like to hear more about that, if you are up for sharing.",Continuation,Continuation,Continuation
Tell me more about that...,Continuation,Continuation,Continuation
How many hippos do you have?,Garbage,,
Do you think anger ever justified?,Binary,Observable,Anger
Is anger ever a good thing?,Binary,Observable,Anger
Is getting angry an effective way of dealing with problems?,Binary,Observable,Anger
Do you have a pet?,Binary,Observable,Animals
Do you like animals?,Binary,Observable,Animals
Did you grow up with pets in your home?,Binary,Observable,Animals
Have you ever ridden a horse?,Binary,Observable,Animals
Do you think that animals dream?,Binary,Observable,Animals
Have you ever had a surprise birthday party for yourself or someone else?,Binary,Observable,Birthday
Are birthdays really important?,Binary,Observable,Birthday
Do you enjoy reading?,Binary,Observable,Books
Do you think that it is more valuable to read a book than to watch television?,Binary,Observable,Books
Do you think that the internet and television will eventually make books obsolete?,Binary,Observable,Books
Do you think change is important?,Binary,Observable,Change
"Are you happy in your current home/apt, or would you like to move or renovate it?",Binary,Observable,Change
Do you often feel agitated or restless?,Binary,Observable,Psych
Would you say you're a calm person?,Binary,Observable,Psych
Do you feel like you make up your mind quickly?,Binary,Observable,Psych
Do you think you are an irritable person?,Binary,Observable,Psych
"If something bothers you, do you find it hard to stop thinking about it?",Binary,Observable,Psych
"Do you feel like you are easily alarmed, frightened, or surprised?",Binary,Observable,Psych
Are you overwhelmed by large crowds?,Binary,Observable,Psych
Would you describe yourself as decisive?,Binary,Observable,Psych
"When you are really sad or down, do you seek the company of others?",Binary,Observable,Psych
Are you easily distracted?,Binary,Observable,Psych
Are you motivated by deadlines?,Binary,Observable,Psych
Do you think you work well under pressure?,Binary,Observable,Psych
Do you sometimes give into unhealthy habits because of stress at work?,Binary,Observable,Psych
Would you say that you are fearful of confrontation?,Binary,Observable,Psych
Would you say that you overanalyze your relationships with others?,Binary,Observable,Psych
Do you think there are forces beyond your control preventing you from reaching a goal?,Binary,Observable,Psych
Would you describe yourself as a private person?,Binary,Observable,Psych
Would you describe yourself as an outside-the-box thinker?,Binary,Observable,Psych
Is it your way or the highway?,Binary,Observable,Psych
